value,metadata
Is the user manual available in digital format?,[]
How do I set up the infotainment system in my vehicle?,[]
Have I got the WiFi setup right in the car?,[]
How do I change the oil in this thing?,[]
"Could you please guide me through the process of setting up a new driver profile in the vehicle's infotainment system, step by step?",[]
Could you please guide me through the process of setting up a new driver profile and explain how I can customize the settings to suit my preferences?,[]
"Hey, can you guide me through the steps to change the oil in my car? I want to make sure I'm doing it right.",[]
"Hey, I've been trying to figure out how to set up the WiFi in my car, but I'm a bit stuck. Could you walk me through the steps to connect my phone to the car's WiFi system? I want to make sure I'm doing it right.",[]
Is my vehicle's warranty still valid?,[]
How can I determine the best time to sell my current vehicle?,[]
Got any tips for boosting my car's resale value?,[]
"Hey, what's the best way to finance a new car these days?",[]
Would you please confirm if my current auto insurance policy includes coverage for rental cars when I travel abroad for business purposes?,[]
"Could you please provide an overview of the different financing options available for purchasing a new vehicle, including the pros and cons of each method?",[]
"Hey, can you help me figure out if it's better to lease or finance a new car given my current situation? I plan on driving it for about 3 years and then upgrading, so which option would be more cost-effective for me?",[]
How can I find the nearest charging station for my electric vehicle?,[]
Is there a 24-hour gas station nearby?,[]
"Hey, what's the quickest way to get to the nearest coffee shop?",[]
"""Could you please direct me to the nearest gas station that is currently open and accepts credit cards?""",[]
"Could you please guide me to the nearest gas station that is open 24 hours and accepts credit cards? Additionally, could you provide an estimate of the travel time from our current location?",[]
"Hey, can you help me find the nearest coffee shop that's open right now and has good reviews? I really need a quick caffeine fix.",[]
"Hey, can you help me find the nearest coffee shop that's open late? I'm craving a latte and need to stay up to finish some work. Any recommendations within a 10-minute drive from here?",[]
